Time Stamp,F,C,I,B,G,K,E,H,J,D,A
1/1/20 0:00,1180.6,1630.5,553.7,982.7,941.3,1986.3,795.5,303.8,4897.1,604.5,1540.9
1/1/20 1:00,1135.7,1575.6,535.4,947.6,901.9,1891.3,761.8,292.3,4763.3,600.8,1485.7
1/1/20 2:00,1107.1,1549.5,517.1,924.2,876.9,1815.5,748.6,279.9,4622.3,596.7,1467.9
1/1/20 3:00,1095.1,1527.5,505.4,909,856,1767.3,742.4,274.5,4510.8,595.7,1442.4
1/1/20 4:00,1099.7,1548.3,501.2,912.5,858.4,1762,762,273.6,4456.4,587.1,1449.3
1/1/20 5:00,1117.4,1576.9,510.3,933.7,876.2,1780.7,776,273.4,4501.4,596.2,1461.4
1/1/20 6:00,1138.4,1627.8,524,956.4,906.7,1827.7,804.4,279.1,4610.5,611.3,1502.3
1/1/20 7:00,1169.9,1684.5,531.6,982.5,929,1842.3,846.6,291.1,4711.7,589.1,1557.1
1/1/20 8:00,1206.7,1729.3,542.1,1002.2,954.6,1868.2,877.4,300,4835.9,591.9,1567.8
1/1/20 9:00,1264.3,1771.2,560.8,1032.8,995.6,1902.1,915.8,303.7,4994.6,596.5,1607.5
1/1/20 10:00,1306.1,1791.2,575.8,1055.8,1032.2,1875.2,948.6,324,5116.3,603.1,1652
1/1/20 11:00,1317.4,1823.9,602.2,1091.4,1051.8,1937.1,964.7,342.6,5240.3,617.1,1686.5
1/1/20 12:00,1323.2,1846.7,622,1119.8,1077.8,2127.6,964.5,341.1,5390.6,626.8,1707.2
1/1/20 13:00,1324.5,1873.5,632.7,1133.5,1084,2171.8,947.9,348.9,5474.4,640.5,1699.2
1/1/20 14:00,1320.4,1870.1,635.2,1136.5,1090.7,2251.6,939.5,350.8,5510.6,633.6,1690.1
1/1/20 15:00,1345.7,1883.9,642.6,1138,1107.3,2302.7,945.1,350.8,5558.8,623.2,1670.8
1/1/20 16:00,1438.3,1929.9,671.6,1174.6,1176.4,2455.1,993,367.3,5692.5,633.8,1730.3
1/1/20 17:00,1522,2001.1,703.7,1226.3,1246.4,2637.8,1042.8,391.3,5863.8,670,1843.9
1/1/20 18:00,1509.3,1997.3,704.1,1212.9,1243.9,2625,1035,387.6,5868.8,639.6,1828.1
1/1/20 19:00,1475.3,1968.3,695.3,1187.8,1220.6,2573.5,1011.6,376.9,5818.7,624.2,1813.3
1/1/20 20:00,1426,1908.2,681.6,1154.6,1181,2507.2,974.5,369.3,5730,641.5,1770
1/1/20 21:00,1355.6,1841.4,658.4,1114.3,1119.7,2396.8,926.4,363,5597.1,635.9,1717.6
1/1/20 22:00,1258.9,1759.1,617.8,1052.5,1045.4,2226.9,866.1,339.7,5359.9,624.7,1634.7
1/1/20 23:00,1175.1,1670.2,574.8,1002.6,972,2052.9,816.7,315.8,5054.5,615.3,1548.7
1/2/20 0:00,1137.9,1595.5,544.5,966.3,930.1,1928.6,786,298,4804.2,606.1,1484.7
1/2/20 1:00,1112.9,1569.7,528.6,938.4,912,1854.5,772,284.7,4638.2,605,1449.9
1/2/20 2:00,1103.8,1589.2,516.9,927.5,893.5,1814.3,768.6,289.2,4540.8,601.6,1435.6
1/2/20 3:00,1112.1,1580.5,511.2,926.7,894.8,1806.7,767,287.4,4498.2,584.4,1431.4
1/2/20 4:00,1134.1,1619.3,520,946.4,912.8,1842.4,790.1,295.7,4549.3,602.8,1448.4
1/2/20 5:00,1201.8,1708.5,548.1,1007.5,966.8,1953.5,844.5,309.6,4783.6,615.1,1518.7
1/2/20 6:00,1311.5,1820.5,608.1,1103.9,1050.1,2152.3,943.4,347.6,5276.3,632.5,1661.2
1/2/20 7:00,1394.5,1916.9,661.9,1176.8,1119.8,2281.4,1006,362.7,5756.2,619.2,1771.9
1/2/20 8:00,1419.3,1943.9,669.4,1194.8,1130.1,2271,1021.7,361,6027.1,637.9,1791.1
1/2/20 9:00,1423.9,1938.8,675.1,1181.3,1091.5,2204.1,1031.7,358.9,6159.4,659.1,1779.6
1/2/20 10:00,1426.6,1903.5,648.7,1153.8,1053.4,2142.7,1016.2,350.4,6203.9,644.3,1755.6
1/2/20 11:00,1401,1847.2,637.8,1139.3,1019.4,2089.6,974.6,342,6216.4,616.7,1739.2
1/2/20 12:00,1311.5,1827.6,632.4,1124,1005.9,2085.8,928.9,328.3,6222.2,631.5,1736.6
1/2/20 13:00,1279.7,1853.6,641.8,1154.8,1055.4,2178.5,925.8,329.9,6228.9,631.5,1781.3
1/2/20 14:00,1308.9,1859.1,659.8,1172.5,1087,2256.9,936.4,335.2,6180.8,636.4,1786.1
1/2/20 15:00,1377.2,1867.5,679.3,1170.6,1102.2,2323.7,960.9,342.5,6203.7,619.5,1773.7
1/2/20 16:00,1467.4,1932.9,707.5,1209.1,1174.1,2495.8,1017.9,365.5,6323.6,615.5,1789.7
1/2/20 17:00,1551.7,2035.3,748.4,1262.5,1260.5,2699.7,1060,396.9,6486.5,629.2,1858.6
1/2/20 18:00,1549.4,2008.5,753.7,1250,1281.8,2714.4,1062.2,401,6343.4,618,1854.1
1/2/20 19:00,1514.2,1985.7,733.6,1223.2,1259.2,2640.9,1036.9,394.1,6167.2,625.2,1814.3
1/2/20 20:00,1457.4,1922.6,711.3,1182.8,1218,2542.4,997.6,380.8,5970.8,613,1769.1
1/2/20 21:00,1379.4,1841.9,671.7,1126.8,1156,2400.2,944,360.9,5737.1,597.2,1714.8
1/2/20 22:00,1273.4,1743.6,622.1,1055.3,1068.7,2206.3,863.9,336.5,5408.9,576,1628.3
1/2/20 23:00,1190.2,1647.5,570,993.6,983.5,2003.9,792.5,310.8,5043.5,576,1524.4
1/3/20 0:00,1137.9,1584.5,529.7,947,921.3,1845.5,754.4,290.2,4727.9,589.8,1444.2
1/3/20 1:00,1104.1,1564.1,508.6,916.7,880.1,1743.5,726.4,280.1,4525.6,560.6,1409.4
1/3/20 2:00,1084.4,1547.7,493.9,899.4,859.4,1684.1,714.8,274,4391.4,562.3,1410.8
1/3/20 3:00,1087.6,1549.9,487.4,896.4,852.8,1665.6,710,268.1,4328.2,564.4,1399.6
1/3/20 4:00,1112.6,1580.8,496.4,914.6,866.2,1695.2,728.4,273.9,4348.9,543.7,1436.1
1/3/20 5:00,1170.1,1658.5,526.4,971.6,912.2,1794.4,773.1,291.1,4587,553.5,1503.9
1/3/20 6:00,1277.1,1805.2,581.2,1056.8,1007,1975.4,855.9,306.7,5062.6,573.6,1652.9
1/3/20 7:00,1353.3,1911.9,635.5,1124.8,1073.3,2129.6,913.1,327.1,5548.2,626,1744.1
1/3/20 8:00,1379,1947.2,658.3,1144.3,1088.9,2208.9,953.8,340.7,5877.4,626.3,1755.9
1/3/20 9:00,1398.1,1956.4,681.7,1159.2,1110.4,2277.7,982.8,352.6,6098.9,636.3,1752.3
1/3/20 10:00,1391.6,1986.8,698.7,1183.3,1121.1,2342.6,991.7,366.3,6195.1,637.6,1786
1/3/20 11:00,1403.3,1970.2,693.8,1184.5,1125,2350,977.2,360.8,6241.3,635.2,1790.2
1/3/20 12:00,1383.9,1945.9,695.6,1184.5,1130.4,2349,966.5,359.6,6247.4,598.8,1792.5
1/3/20 13:00,1372.6,1957.7,686.5,1190.5,1135.3,2349.5,962,353.2,6236.7,601.9,1800.9
