Hour,Biomass,Hydroelectric,NG CCGT1,NG CCGT2,NG CCGT3,NG CCGT4,NG CT1,NG CT2,NG CT3,NG CT4,NG CT5,NG CT6,NG CT7,Wind,Solar
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.210356027,0.0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,0.184856787,0.0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.128668338,0.0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,0.093799382,0.0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.212984085,0.0
6,1,1,1,1,1,1,1,1,1,1,1,1,1,0.212321922,0.0
7,1,1,1,1,1,1,1,1,1,1,1,1,1,0.31696701,0.0
8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.078787401,0.10746184
9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.152664736,0.550373018
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0.064333111,0.775891781
11,1,1,1,1,1,1,1,1,1,1,1,1,1,0.002764741,0.892886519
12,1,1,1,1,1,1,1,1,1,1,1,1,1,0.011093508,0.945031762
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0.168176994,0.963850856
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0.451596737,0.975765467
15,1,1,1,1,1,1,1,1,1,1,1,1,1,0.378915012,0.730123639
16,1,1,1,1,1,1,1,1,1,1,1,1,1,0.356059551,0.920074821
17,1,1,1,1,1,1,1,1,1,1,1,1,1,0.179135397,0.778500676
18,1,1,1,1,1,1,1,1,1,1,1,1,1,0.081800878,0.546580791
19,1,1,1,1,1,1,1,1,1,1,1,1,1,0.030949511,0.156666011
20,1,1,1,1,1,1,1,1,1,1,1,1,1,0.026991785,0.0
21,1,1,1,1,1,1,1,1,1,1,1,1,1,0.058474176,0.0
22,1,1,1,1,1,1,1,1,1,1,1,1,1,0.107352868,0.0
23,1,1,1,1,1,1,1,1,1,1,1,1,1,0.164494067,0.0
24,1,1,1,1,1,1,1,1,1,1,1,1,1,0.291948795,0.0
