Time Stamp,F,C,I,B,G,K,E,H,J,D,A
1/1/13 0:00,1203.6,1678.3,640.1,978.1,975.6,2266.9,893.6,306.7,5107,781.7,1637.4
1/1/13 1:00,1146,1596.7,609.9,925.1,925,2110.4,852.5,293.9,4916.5,777.8,1568.5
1/1/13 2:00,1096.1,1522.8,583.1,888.1,870.8,1987.8,815.3,274.3,4715.9,774.3,1516
1/1/13 3:00,1075.1,1497.7,559.1,872.4,848.2,1909.3,794.8,267.8,4551,777.2,1490.4
1/1/13 4:00,1055.5,1507.8,551.1,875.7,843.5,1877.3,808.1,264.7,4471.6,782.9,1490.2
1/1/13 5:00,1077.7,1540.2,559.3,900.8,856.7,1875.6,816.2,272.6,4489,792.1,1513.6
1/1/13 6:00,1116.8,1591.2,583.6,925.3,882.1,1919,847.7,280.1,4572.2,793.3,1556.6
1/1/13 7:00,1144,1657.3,578.8,949.7,905.9,1922.1,867.4,282.6,4643.3,800.8,1587
1/1/13 8:00,1197,1677.1,592.6,971.8,948.8,1994.1,905.1,298.7,4769.7,814.9,1605.7
1/1/13 9:00,1278.6,1809.6,625.6,946,1016,2135.8,980.6,311.2,4965,823.5,1759.3
1/1/13 10:00,1340.9,1895.5,662.5,984.3,1075.9,2279.5,1037.6,325.9,5175.2,833.3,1844.8
1/1/13 11:00,1379.3,1944.6,680.3,1134.9,1104.5,2406.3,1064.7,345.7,5368.1,838.2,1754.8
1/1/13 12:00,1387.3,1959.4,684,1140.5,1112.3,2500.3,1058.2,356.1,5534.6,835.9,1761.4
1/1/13 13:00,1375.9,1949.8,683,1134.5,1113.8,2534.4,1042.3,359.4,5627.6,835.3,1757.9
1/1/13 14:00,1372.1,1937.2,685.1,1126.4,1107.9,2511.3,1038.1,359.5,5640.6,832.6,1755.8
1/1/13 15:00,1398.4,1952,686.4,1128.7,1114.4,2496,1054.1,357.5,5639.2,839,1764.7
1/1/13 16:00,1510.8,2061.4,721.8,1197.9,1202.9,2690.8,1111.6,385.6,5792.6,860.1,1836.5
1/1/13 17:00,1636.1,2256.4,798.1,1350,1336.7,2999,1212.4,438.1,6082.8,880.4,2023
1/1/13 18:00,1633.3,2273.7,808.1,1358.4,1355.1,3016.6,1229.1,439.9,6120,880.2,2048.2
1/1/13 19:00,1615.3,2251.9,795.7,1343.9,1338.7,2975.5,1208.6,434.4,6078.2,879.3,2037.6
1/1/13 20:00,1562.9,2176.5,779.9,1299.4,1297.7,2898.2,1152.3,422.8,5986.4,871.3,2004.2
1/1/13 21:00,1457,2038.5,701.6,1212,1222.2,2755,1079.1,453,5842.8,861.5,1919
1/1/13 22:00,1339.6,1908.9,626.5,1126.8,1121.7,2518,1007,437.7,5599.6,842.5,1808.8
1/1/13 23:00,1247.6,1800.1,605.1,1048.5,1028.8,2264,951.8,364.1,5249.6,823.2,1707
1/2/13 0:00,1206.2,1742.2,561,996.6,961.8,2097.3,923,342.9,4928.8,813.3,1627.9
1/2/13 1:00,1178,1711.9,541.2,972.1,932.2,2008.9,918.1,333.4,4722.9,813.5,1601.4
1/2/13 2:00,1165.9,1665.7,530.2,957.7,918.9,1956.9,915.1,328.1,4584.5,806.6,1590.5
1/2/13 3:00,1174.9,1690.1,523.6,957.3,920.8,1939.6,910,330.5,4518.5,803.3,1597.2
1/2/13 4:00,1211.9,1741.1,569.8,982.9,937.9,1974.9,941.1,304.8,4567.2,808.6,1622.9
1/2/13 5:00,1306.6,1864,603,1060.1,1015.5,2122.1,994.6,327,4781.1,832.2,1706.3
1/2/13 6:00,1481.5,2115.1,683.9,1216.7,1137.6,2402.3,1127.4,382.5,5351.8,857.4,1878.1
1/2/13 7:00,1571.5,2253.2,758.7,1316.2,1215.1,2604,1205.9,405.9,5936.7,876.6,2016.3
1/2/13 8:00,1566.7,2279,776,1328.4,1241.1,2677.6,1210.1,408.9,6314.4,875.9,2034.6
1/2/13 9:00,1576.4,2287.7,791.4,1347,1253.5,2733.5,1211,408.8,6572.7,875.9,2057.9
1/2/13 10:00,1599.6,2294.8,789.2,1353.3,1263.6,2766.7,1225,412.9,6692.3,876.9,2095.2
1/2/13 11:00,1596.5,2298.5,782.2,1373.7,1265.1,2759.5,1220.3,410.7,6751,876.4,2096.7
1/2/13 12:00,1563,2256.7,774.7,1368.2,1244.5,2753.2,1212.7,404.7,6772.3,879.2,2090.5
1/2/13 13:00,1548.1,2243.1,767.4,1382.8,1242.6,2744.2,1201.2,396.7,6754,871.6,2078.4
